transect_id,longitude,latitude
T1,266735.1295359433,580518.2828072008
T2,266706.96856681304,580580.7670366998
T3,266623.6141416986,580595.0697898855
T4,266576.00056871545,580596.4089313284
T5,266544.6706943001,580596.1255907215
T6,266518.6908937685,580593.9182389509
T7,266492.5129140574,580592.2506641829
T8,266456.424126273,580592.7306834579
T9,266398.42948483315,580586.7567367802
T10,266316.4626739105,580553.0745610723
T11,266316.74929091573,580483.5388812483
T12,266401.98852814856,580451.7349355457
T13,266460.2977473889,580448.0428051797
T14,266492.6156295704,580444.5491180016
T15,266518.70490704896,580442.816490596
T16,266543.58260698855,580444.736783303
T17,266577.20000819844,580438.3208042737
T18,266634.8968811975,580432.7141158701
T19,266696.7362900984,580459.3113227348
